Date,Count,Hour,Temp,Humidity,WindSpeed,Visibility,DewPointTemp,SolarRadiation,Rainfall,Snowfall,Seasons,Holiday,FunctioningDay,DayOfWeek,RushHour,Month,HourDPT,HourDPT%,ComfortIndex,ComfortIndexScaled,ComfortAdd,ComfortAddScaled
2018-05-24,1838,21,19.3,50,1.7,1381,8.6,0.0,0.0,0.0,1.0,0,1,3,0,5,180.6,0.31,17.98,0.72,5.57,0.47
2018-04-07,697,12,6.0,23,4.2,1990,-13.6,2.0,0.0,0.0,1.0,0,1,5,0,4,-163.2,-0.28,9.59975,0.47,-2.69,0.25
2018-03-07,49,4,2.6,61,1.7,1998,-4.1,0.0,0.0,0.0,1.0,0,1,2,0,3,-16.4,-0.03,5.152550000000001,0.33,-0.15,0.32
2018-04-28,905,23,12.3,51,1.0,1648,2.4,0.0,0.0,0.0,1.0,0,1,5,0,4,55.2,0.09,12.8929,0.57,1.16,0.35
2018-04-30,1456,22,18.4,78,1.6,377,14.4,0.0,0.0,0.0,1.0,0,1,0,0,4,316.8,0.54,17.928099999999997,0.72,9.68,0.57
2018-05-01,1400,22,19.9,75,0.8,516,15.3,0.0,0.0,0.0,1.0,0,1,1,0,5,336.6,0.58,19.1575,0.75,11.11,0.61
2018-04-09,651,7,0.6,97,1.3,66,0.1,0.05,0.0,0.0,1.0,0,1,0,1,4,0.7000000000000001,0.0,0.8293500000000003,0.21,0.0,0.32
2018-05-16,367,7,22.0,95,0.7,342,21.1,0.0,0.0,0.0,1.0,0,1,2,1,5,147.70000000000002,0.25,21.79375,0.83,5.45,0.46
2018-04-10,1080,16,20.9,34,5.8,2000,4.4,1.37,0.0,0.0,1.0,0,1,1,0,4,70.4,0.12,18.5768,0.73,2.23,0.38
2018-05-26,1683,22,21.2,60,1.0,1192,13.1,0.0,0.0,0.0,1.0,0,1,5,0,5,288.2,0.5,19.726,0.77,9.86,0.58
2018-04-17,1007,13,19.1,26,2.5,1134,-0.8,3.16,0.0,0.0,1.0,0,1,1,0,4,-10.4,-0.02,17.227800000000002,0.69,-0.34,0.31
2018-05-29,1234,15,25.7,56,1.8,1112,16.2,1.71,0.0,0.0,1.0,0,1,1,0,5,243.0,0.42,22.9896,0.87,9.66,0.57
2018-04-16,1145,15,18.4,25,2.0,1809,-2.0,2.8,0.0,0.0,1.0,0,1,0,0,4,-30.0,-0.05,16.791249999999998,0.68,-0.84,0.3
2018-03-23,638,22,5.3,63,1.8,591,-1.1,0.0,0.0,0.0,1.0,0,1,4,0,3,-24.200000000000003,-0.04,7.1722,0.39,-0.29,0.32
2018-04-03,454,23,15.0,94,1.6,163,14.0,0.0,0.0,0.0,1.0,0,1,1,0,4,322.0,0.55,14.9835,0.63,8.24,0.53
2018-03-02,574,16,5.2,21,2.1,1721,-15.4,1.97,0.0,0.0,1.0,0,1,4,0,3,-246.4,-0.42,9.240850000000002,0.46,-3.88,0.22
2018-04-01,737,11,16.7,55,2.1,1182,7.6,1.37,0.0,0.0,1.0,0,1,6,0,4,83.6,0.14,16.1555,0.66,2.26,0.38
2018-05-09,1940,21,16.4,56,0.8,2000,7.5,0.0,0.0,0.0,1.0,0,1,2,0,5,157.5,0.27,15.9402,0.66,4.3,0.43
2018-04-27,361,2,11.2,58,1.4,1255,3.2,0.0,0.0,0.0,1.0,0,1,4,0,4,6.4,0.01,11.9623,0.54,0.12,0.33
2018-04-13,982,9,13.2,22,1.1,2000,-8.0,0.93,0.0,0.0,1.0,0,1,4,1,4,-72.0,-0.12,13.7577,0.59,-1.65,0.28
2018-04-28,1351,21,13.9,37,1.1,1751,-0.5,0.0,0.0,0.0,1.0,0,1,5,0,4,-10.5,-0.02,14.1079,0.6,-0.28,0.32
2018-03-22,739,20,5.1,56,2.0,899,-2.9,0.0,0.0,0.0,1.0,0,1,3,0,3,-58.0,-0.1,7.3748,0.4,-0.74,0.3
2018-04-07,122,3,1.5,82,3.5,372,-1.2,0.0,0.1,0.0,1.0,0,1,5,0,4,-3.6,-0.01,2.7870000000000004,0.26,-0.03,0.32
2018-04-21,702,10,20.6,24,2.0,950,-0.7,2.29,0.0,0.0,1.0,0,1,5,0,4,-7.0,-0.01,18.0502,0.72,-0.18,0.32
2018-03-08,8,4,3.3,90,1.3,682,1.8,0.0,0.0,0.0,1.0,0,1,3,0,3,7.2,0.01,3.916,0.3,0.04,0.32
2018-03-12,694,15,15.3,32,2.9,458,-1.3,2.02,0.0,0.0,1.0,0,1,0,0,3,-19.5,-0.03,15.0008,0.63,-0.45,0.31
2018-03-26,819,16,17.7,33,3.4,897,1.2,1.96,0.0,0.0,1.0,0,1,0,0,3,19.2,0.03,16.5208,0.67,0.5,0.34
2018-05-18,29,5,17.8,98,1.0,457,17.4,0.0,0.5,0.0,1.0,0,1,4,0,5,87.0,0.15,17.7637,0.71,2.66,0.39
2018-03-15,411,17,10.9,98,1.3,222,10.5,0.09,0.0,0.0,1.0,0,1,3,1,3,178.5,0.31,10.9396,0.51,3.39,0.41
2018-04-21,600,8,14.6,54,0.9,431,5.3,0.89,0.0,0.0,1.0,0,1,5,1,4,42.4,0.07,14.5747,0.62,1.02,0.35
2018-04-04,505,10,10.7,81,1.4,2000,7.5,0.57,0.0,0.0,1.0,0,1,2,0,4,75.0,0.13,11.0971,0.51,1.44,0.36
2018-05-28,1258,15,28.4,43,3.1,900,14.6,2.28,0.0,0.0,1.0,0,1,0,0,5,219.0,0.38,24.04235,0.9,9.14,0.56
2018-03-20,460,22,2.0,37,2.7,2000,-11.1,0.0,0.0,0.0,1.0,0,1,1,0,3,-244.2,-0.42,6.331250000000001,0.37,-2.66,0.25
2018-04-27,1446,16,23.2,33,2.4,869,6.0,2.12,0.0,0.0,1.0,0,1,4,0,4,96.0,0.16,19.99405,0.78,3.2,0.41
2018-05-06,1737,17,20.2,62,1.1,2000,12.6,1.74,0.0,0.0,1.0,0,1,6,1,5,214.2,0.37,19.0087,0.75,7.03,0.5
2018-05-05,796,0,12.2,59,1.2,1718,4.4,0.0,0.0,0.0,1.0,0,1,5,0,5,0.0,0.0,12.71865,0.56,0.0,0.32
2018-04-04,665,7,10.3,90,1.2,2000,8.7,0.01,0.0,0.0,1.0,0,1,2,1,4,60.89999999999999,0.1,10.531,0.49,1.05,0.35
2018-04-26,1123,14,21.6,28,3.1,1414,2.2,2.84,0.0,0.0,1.0,0,1,3,0,4,30.800000000000004,0.05,18.7884,0.74,0.94,0.35
2018-03-28,907,22,13.6,73,2.0,644,8.8,0.0,0.0,0.0,1.0,0,1,2,0,3,193.6,0.33,13.73365,0.59,4.53,0.44
2018-04-01,1201,14,17.5,67,2.1,832,11.2,0.42,0.0,0.0,1.0,0,1,6,0,4,156.79999999999998,0.27,16.9555,0.69,4.58,0.44
2018-05-13,1155,22,13.5,87,2.2,433,11.3,0.0,0.0,0.0,1.0,0,1,6,0,5,248.6,0.43,13.5715,0.59,5.84,0.47
2018-05-14,377,1,12.4,94,1.3,307,11.4,0.0,0.0,0.0,1.0,0,1,0,0,5,11.4,0.02,12.4693,0.55,0.25,0.33
2018-03-15,15,7,14.3,97,0.3,189,13.8,0.0,0.0,0.0,1.0,0,1,3,1,3,96.6,0.17,14.3033,0.61,2.43,0.39
2018-03-28,1288,19,16.0,60,2.8,1436,8.2,0.06,0.0,0.0,1.0,0,1,2,1,3,155.79999999999998,0.27,15.67,0.65,4.23,0.43
2018-03-16,772,14,11.0,36,1.8,1973,-3.5,2.91,0.0,0.0,1.0,0,1,4,0,3,-49.0,-0.08,12.232,0.55,-0.98,0.3
2018-04-27,2577,18,20.3,47,2.5,705,8.6,0.77,0.0,0.0,1.0,0,1,4,1,4,154.79999999999998,0.27,18.6093,0.74,5.02,0.45
2018-04-12,1054,7,7.6,54,1.7,1690,-1.1,0.13,0.0,0.0,1.0,0,1,3,1,4,-7.700000000000001,-0.01,9.3457,0.46,-0.09,0.32
2018-03-06,122,2,0.3,71,0.9,1999,-4.3,0.0,0.0,0.0,1.0,0,1,1,0,3,-8.6,-0.01,2.5649,0.26,-0.03,0.32
2018-05-16,240,15,22.0,96,2.9,313,21.3,0.2,0.0,0.0,1.0,0,1,2,0,5,319.5,0.55,21.835,0.83,12.01,0.63
2018-05-05,247,6,12.3,55,2.1,1972,3.5,0.02,0.0,0.0,1.0,0,1,5,0,5,21.0,0.04,12.8445,0.56,0.51,0.34
2018-05-15,1080,13,27.8,34,1.5,1306,10.4,3.14,0.0,0.0,1.0,0,1,1,0,5,135.20000000000002,0.23,22.9721,0.87,5.28,0.46
2018-05-05,1669,14,23.6,34,3.3,1829,6.8,2.57,0.0,0.0,1.0,0,1,5,0,5,95.2,0.16,20.2967,0.79,3.25,0.41
2018-03-26,798,21,11.6,54,1.5,693,2.5,0.0,0.0,0.0,1.0,0,1,0,0,3,52.5,0.09,12.3337,0.55,1.11,0.35
2018-03-02,274,10,-1.8,30,2.1,1608,-17.1,1.59,0.0,0.0,1.0,0,1,4,0,3,-171.0,-0.29,4.4755,0.31,-1.3,0.29
2018-05-04,1501,16,18.6,30,5.1,1891,0.6,2.49,0.0,0.0,1.0,0,1,4,0,5,9.6,0.02,17.0215,0.69,0.34,0.33
2018-04-02,359,6,14.9,81,0.4,580,11.6,0.0,0.0,0.0,1.0,0,1,0,0,4,69.6,0.12,14.8582,0.62,1.78,0.37
2018-05-21,2065,21,17.7,63,0.5,1324,10.5,0.0,0.0,0.0,1.0,0,1,0,0,5,220.5,0.38,17.0488,0.69,6.48,0.49
2018-03-06,680,16,10.6,26,1.9,1955,-8.1,1.75,0.0,0.0,1.0,0,1,1,0,3,-129.6,-0.22,12.1873,0.54,-2.68,0.25
2018-05-18,1551,17,17.2,81,1.2,2000,13.9,0.57,0.0,0.0,1.0,0,1,4,1,5,236.3,0.41,16.917849999999998,0.69,6.94,0.5
2018-03-03,215,23,9.4,74,1.6,559,4.9,0.0,0.0,0.0,1.0,0,1,5,0,3,112.7,0.19,10.1293,0.48,1.92,0.37
2018-05-18,116,1,19.0,97,1.5,278,18.5,0.0,1.0,0.0,1.0,0,1,4,0,5,18.5,0.03,18.92575,0.75,0.57,0.34
2018-05-05,1223,16,23.2,30,4.5,1787,4.6,1.49,0.0,0.0,1.0,0,1,5,0,5,73.6,0.13,19.8505,0.77,2.58,0.39
2018-04-27,663,0,11.8,59,2.4,1535,4.0,0.0,0.0,0.0,1.0,0,1,4,0,4,0.0,0.0,12.40885,0.55,0.0,0.32
2018-03-21,209,6,1.4,42,1.7,2000,-10.1,0.0,0.0,0.0,1.0,0,1,2,0,3,-60.6,-0.1,5.578900000000001,0.35,-0.56,0.31
2018-03-25,768,18,14.4,44,2.7,596,2.2,0.6,0.0,0.0,1.0,0,1,6,1,3,39.6,0.07,14.4308,0.61,1.01,0.35
2018-05-13,1571,21,14.1,86,0.9,535,11.7,0.0,0.0,0.0,1.0,0,1,6,0,5,245.7,0.42,14.1308,0.6,5.93,0.48
2018-05-26,1851,21,21.7,58,1.3,1173,13.0,0.0,0.0,0.0,1.0,0,1,5,0,5,273.0,0.47,20.0368,0.78,9.42,0.56
2018-04-04,1374,20,12.8,56,2.0,2000,4.2,0.0,0.0,0.0,1.0,0,1,2,0,4,84.0,0.14,13.2114,0.57,1.85,0.37
2018-03-28,1221,17,17.6,45,4.2,1947,5.5,0.7,0.0,0.0,1.0,0,1,2,1,3,93.5,0.16,16.66225,0.68,2.67,0.39
2018-04-02,2401,18,20.7,54,4.1,1484,11.0,0.5,0.0,0.0,1.0,0,1,0,1,4,198.0,0.34,19.1314,0.75,6.5,0.49
2018-03-09,1231,18,7.0,55,2.0,705,-1.4,0.35,0.0,0.0,1.0,0,1,4,1,3,-25.2,-0.04,8.85625,0.44,-0.35,0.31
2018-04-15,42,17,11.8,60,2.9,1457,4.2,0.6,0.0,0.0,1.0,0,1,6,1,4,71.4,0.12,12.394,0.55,1.49,0.36
2018-03-11,1028,17,11.1,25,2.0,1765,-8.2,1.19,0.0,0.0,1.0,0,1,6,1,3,-139.39999999999998,-0.24,12.5025,0.55,-3.0,0.25
2018-04-15,317,19,11.0,62,2.1,1661,3.9,0.19,0.0,0.0,1.0,0,1,6,1,4,74.1,0.13,11.7315,0.53,1.53,0.36
2018-04-04,22,3,14.3,97,1.2,228,13.8,0.0,7.0,0.0,1.0,0,1,2,0,4,41.400000000000006,0.07,14.3033,0.61,1.0,0.35
2018-04-12,1789,8,8.9,48,1.1,1444,-1.5,0.69,0.0,0.0,1.0,0,1,3,1,4,-12.0,-0.02,10.5016,0.49,-0.21,0.32
2018-03-25,331,9,6.3,73,1.3,218,1.8,0.79,0.0,0.0,1.0,0,1,6,1,3,16.2,0.03,7.5177,0.4,0.23,0.33
2018-03-20,492,15,6.5,39,3.3,2000,-6.4,1.21,0.0,0.0,1.0,0,1,1,0,3,-96.0,-0.16,9.184,0.45,-1.47,0.29
2018-05-19,2128,14,22.8,39,2.6,1983,8.1,3.39,0.0,0.0,1.0,0,1,5,0,5,113.4,0.19,20.01535,0.78,3.8,0.42
2018-03-17,742,11,8.0,39,1.2,1783,-5.1,2.26,0.0,0.0,1.0,0,1,5,0,3,-56.1,-0.1,10.18075,0.48,-1.02,0.3
2018-05-29,422,20,20.1,88,2.2,572,18.0,0.0,1.0,0.0,1.0,0,1,1,0,5,360.0,0.62,19.730400000000003,0.77,12.23,0.64
2018-05-07,600,8,14.8,80,0.3,1921,11.3,0.31,0.0,0.0,1.0,0,1,0,1,5,90.4,0.16,14.767,0.62,2.36,0.38
2018-05-27,555,2,19.0,62,1.8,974,11.5,0.0,0.0,0.0,1.0,0,1,6,0,5,23.0,0.04,18.0595,0.72,0.72,0.34
2018-05-03,163,5,7.0,85,0.8,2000,4.6,0.0,0.0,0.0,1.0,0,1,3,0,5,23.0,0.04,7.61875,0.41,0.3,0.33
2018-03-17,562,22,7.0,55,2.7,1041,-1.4,0.0,0.0,0.0,1.0,0,1,5,0,3,-30.8,-0.05,8.85625,0.44,-0.44,0.31
2018-04-04,15,2,14.5,97,2.2,179,14.0,0.0,3.5,0.0,1.0,0,1,2,0,4,28.0,0.05,14.5,0.61,0.73,0.34
2018-03-19,592,8,7.3,84,2.2,813,4.7,0.05,0.0,0.0,1.0,0,1,0,1,3,37.6,0.06,7.9336,0.42,0.48,0.34
2018-03-22,243,0,1.6,86,1.7,1141,-0.4,0.0,0.0,0.0,1.0,0,1,3,0,3,-0.0,-0.0,2.5933,0.26,-0.0,0.32
2018-05-08,767,23,12.2,57,1.9,2000,3.9,0.0,0.0,0.0,1.0,0,1,1,0,5,89.7,0.15,12.74395,0.56,1.91,0.37
2018-05-13,72,5,13.5,98,0.8,105,13.1,0.0,0.0,0.0,1.0,0,1,6,0,5,65.5,0.11,13.511,0.58,1.49,0.36
2018-05-04,2041,8,11.3,46,1.2,1788,0.0,1.04,0.0,0.0,1.0,0,1,4,1,5,0.0,0.0,12.2504,0.55,0.0,0.32
2018-03-28,337,1,11.6,74,1.2,374,7.1,0.0,0.0,0.0,1.0,0,1,2,0,3,7.1,0.01,12.0147,0.54,0.12,0.33
2018-05-29,1174,14,25.5,53,2.0,981,15.2,2.5,0.0,0.0,1.0,0,1,1,0,5,212.8,0.37,22.6565,0.86,8.38,0.54
2018-03-19,67,0,7.0,81,1.1,421,3.9,0.0,0.5,0.0,1.0,0,1,0,0,3,0.0,0.0,7.783749999999999,0.41,0.0,0.32
2018-03-29,1194,17,20.3,48,2.8,635,8.9,1.14,0.0,0.0,1.0,0,1,3,1,3,151.3,0.26,18.6412,0.74,4.85,0.45
2018-03-10,650,12,7.1,50,2.2,909,-2.6,2.47,0.0,0.0,1.0,0,1,5,0,3,-31.200000000000003,-0.05,9.135,0.45,-0.46,0.31
2018-04-25,938,11,17.5,25,1.3,1843,-2.7,2.74,0.0,0.0,1.0,0,1,2,0,4,-29.700000000000003,-0.05,16.2625,0.67,-0.81,0.3
2018-04-11,0,1,13.6,81,3.6,886,10.3,0.0,0.0,0.0,1.0,0,0,2,0,4,10.3,0.02,13.69405,0.59,0.27,0.33
2018-05-15,182,5,15.7,76,0.6,330,11.4,0.0,0.0,0.0,1.0,0,1,1,0,5,57.0,0.1,15.5416,0.64,1.55,0.36
2018-04-18,105,4,7.2,49,0.8,1546,-2.8,0.0,0.0,0.0,1.0,0,1,2,0,4,-11.2,-0.02,9.24765,0.46,-0.18,0.32
2018-05-19,932,9,15.7,49,1.6,2000,5.0,2.0,0.0,0.0,1.0,0,1,5,1,5,45.0,0.08,15.3634,0.64,1.23,0.35
2018-05-21,666,0,15.3,29,1.3,2000,-2.6,0.0,0.0,0.0,1.0,0,1,0,0,5,-0.0,-0.0,14.9876,0.63,-0.0,0.32
2018-03-17,1111,13,10.9,32,1.2,1772,-5.1,2.22,0.0,0.0,1.0,0,1,5,0,3,-66.3,-0.11,12.2464,0.55,-1.35,0.29
2018-03-14,1049,16,21.7,41,3.2,2000,7.8,1.91,0.0,0.0,1.0,0,1,2,0,3,124.8,0.21,19.3636,0.76,4.07,0.43
2018-03-11,212,8,2.8,82,1.2,240,0.0,0.19,0.0,0.0,1.0,0,1,6,1,3,0.0,0.0,3.9583,0.3,0.0,0.32
2018-05-17,141,10,20.1,98,1.2,885,19.7,0.13,2.0,0.0,1.0,0,1,3,0,5,197.0,0.34,20.038400000000003,0.78,6.81,0.5
2018-05-13,716,10,15.2,88,2.2,1090,13.2,0.55,0.0,0.0,1.0,0,1,6,0,5,132.0,0.23,15.1538,0.63,3.49,0.41
2018-05-08,1117,13,21.7,44,2.1,2000,8.9,2.46,0.0,0.0,1.0,0,1,1,0,5,115.7,0.2,19.4824,0.76,3.9,0.42
2018-03-28,785,15,18.2,45,4.1,1908,6.0,1.86,0.0,0.0,1.0,0,1,2,0,3,90.0,0.15,17.08075,0.69,2.56,0.39
2018-03-02,388,12,1.8,26,2.2,1556,-15.7,2.61,0.0,0.0,1.0,0,1,4,0,3,-188.4,-0.32,6.9689,0.39,-2.23,0.27
2018-03-17,384,8,1.3,57,1.0,1974,-6.2,0.32,0.0,0.0,1.0,0,1,5,1,3,-49.6,-0.09,4.4218,0.31,-0.4,0.31
2018-05-05,1753,19,20.7,47,3.5,1952,8.9,0.28,0.0,0.0,1.0,0,1,5,1,5,169.1,0.29,18.8927,0.74,5.48,0.46
2018-03-14,587,23,16.1,69,1.8,1666,10.4,0.0,0.0,0.0,1.0,0,1,2,0,3,239.2,0.41,15.8272,0.65,6.49,0.49
2018-05-22,443,7,16.3,69,0.7,1750,10.5,0.34,0.0,0.0,1.0,0,1,1,1,5,73.5,0.13,15.9931,0.66,2.08,0.38
2018-04-16,226,1,7.6,62,1.2,1885,0.7,0.0,0.0,0.0,1.0,0,1,0,0,4,0.7,0.0,9.0421,0.45,0.0,0.32
2018-03-03,71,6,0.5,42,0.9,1543,-10.9,0.0,0.0,0.0,1.0,0,1,5,0,3,-65.4,-0.11,4.966000000000001,0.33,-0.55,0.31
2018-04-13,156,5,9.1,34,0.9,2000,-5.9,0.0,0.0,0.0,1.0,0,1,4,0,4,-29.5,-0.05,11.0602,0.51,-0.55,0.31
2018-03-13,616,9,9.4,44,0.3,743,-2.2,0.33,0.0,0.0,1.0,0,1,1,1,3,-19.8,-0.03,10.9708,0.51,-0.33,0.31
2018-04-22,631,12,18.9,44,0.9,1910,6.3,0.75,0.0,0.0,1.0,0,1,6,0,4,75.6,0.13,17.5448,0.7,2.28,0.38
2018-05-09,1979,20,17.3,53,1.9,2000,7.6,0.01,0.0,0.0,1.0,0,1,2,0,5,152.0,0.26,16.5762,0.68,4.31,0.43
2018-04-27,1129,7,10.1,63,0.7,1163,3.3,0.22,0.0,0.0,1.0,0,1,4,1,4,23.1,0.04,10.9954,0.51,0.44,0.33
2018-05-02,102,7,17.6,94,0.5,166,16.6,0.0,1.0,0.0,1.0,0,1,2,1,5,116.20000000000002,0.2,17.497700000000002,0.7,3.5,0.41
2018-04-12,952,9,11.5,43,1.7,1818,-0.6,1.43,0.0,0.0,1.0,0,1,3,1,4,-5.4,-0.01,12.4405,0.55,-0.12,0.32
2018-04-26,2574,18,17.4,45,3.1,1092,5.3,0.75,0.0,0.0,1.0,0,1,3,1,4,95.4,0.16,16.52275,0.67,2.64,0.39
2018-04-26,1386,16,21.7,23,2.5,1404,-0.3,1.97,0.0,0.0,1.0,0,1,3,0,4,-4.8,-0.01,18.6508,0.74,-0.19,0.32
2018-03-08,315,23,2.8,73,1.8,468,-1.5,0.0,0.0,0.0,1.0,0,1,3,0,3,-34.5,-0.06,4.53745,0.32,-0.27,0.32
2018-04-13,1662,17,18.1,16,1.4,2000,-8.1,0.45,0.0,0.0,1.0,0,1,4,1,4,-137.7,-0.24,16.4368,0.67,-3.94,0.22
2018-04-28,647,8,12.7,67,0.6,378,6.7,0.86,0.0,0.0,1.0,0,1,5,1,4,53.6,0.09,13.0267,0.57,1.17,0.35
2018-05-30,1150,7,18.9,85,0.6,289,16.3,0.12,0.0,0.0,1.0,0,1,2,1,5,114.1,0.2,18.537,0.73,3.71,0.42
2018-05-27,234,6,17.3,62,1.4,1293,9.9,0.03,0.0,0.0,1.0,0,1,6,0,5,59.400000000000006,0.1,16.7148,0.68,1.67,0.37
2018-05-31,1164,14,25.9,43,2.7,1493,12.3,2.97,0.0,0.0,1.0,0,1,3,0,5,172.20000000000002,0.3,22.3261,0.85,6.7,0.49
2018-03-08,405,13,6.7,65,3.2,1651,0.5,1.76,0.0,0.0,1.0,0,1,3,0,3,6.5,0.01,8.2015,0.43,0.08,0.33
2018-04-02,1469,8,15.7,75,1.1,804,11.2,0.11,0.0,0.0,1.0,0,1,0,1,4,89.6,0.15,15.535,0.64,2.33,0.38
2018-03-13,572,23,13.4,81,2.6,958,10.1,0.0,0.0,0.0,1.0,0,1,1,0,3,232.3,0.4,13.51495,0.58,5.41,0.46
2018-03-24,460,22,6.5,85,2.3,167,4.1,0.0,0.0,0.0,1.0,0,1,5,0,3,90.2,0.16,7.16,0.39,1.15,0.35
2018-05-09,2405,19,18.8,47,2.8,1988,7.2,0.4,0.0,0.0,1.0,0,1,2,1,5,136.8,0.24,17.54655,0.7,4.21,0.43
2018-03-27,95,4,7.8,70,0.3,395,2.6,0.0,0.0,0.0,1.0,0,1,1,0,3,10.4,0.02,8.9055,0.45,0.18,0.33
2018-03-29,711,14,20.2,47,2.4,541,8.5,2.3,0.0,0.0,1.0,0,1,3,0,3,119.0,0.2,18.53845,0.73,3.71,0.42
2018-04-29,307,7,9.9,59,0.7,1707,2.2,0.25,0.0,0.0,1.0,0,1,6,1,4,15.400000000000002,0.03,10.9373,0.51,0.33,0.33
2018-04-08,93,20,2.7,90,1.5,639,1.2,0.0,0.0,0.0,1.0,0,1,6,0,4,24.0,0.04,3.349,0.28,0.13,0.33
2018-03-04,157,9,8.8,97,1.3,196,8.3,0.2,0.2,0.0,1.0,0,1,6,1,3,74.7,0.13,8.89405,0.45,1.16,0.35
