Date,Count,Hour,Temp,Humidity,WindSpeed,Visibility,DewPointTemp,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning Day
02/12/2017,0.34875,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.5075,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.51375,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.48625,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.5225,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.465,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.36125,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.23125,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.19875,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.22125,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.1925,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,winter,No Holiday,Yes
02/12/2017,0.2075,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.1775,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.03375,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.035,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,-0.10375,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,winter,No Holiday,Yes
03/12/2017,-0.155,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,-0.21,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,-0.23375,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,winter,No Holiday,Yes
03/12/2017,-0.2225,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,-0.14375,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,-0.06,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,winter,No Holiday,Yes
03/12/2017,0.0,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.09125,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.16625,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.36875,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.45375,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.52625,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.4975,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.43125,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.30375,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.2775,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.24625,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.23125,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.1875,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,winter,No Holiday,Yes
03/12/2017,0.12875,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.10625,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,-0.0175,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,-0.11,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,-0.16875,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,-0.19875,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,-0.1475,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.0,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,winter,No Holiday,Yes
04/12/2017,0.3725,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.92125,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.38625,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.13875,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.22375,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.24125,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.23875,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.1725,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.17625,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.21875,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.39375,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.75875,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.46,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.2475,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.24625,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.19125,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,winter,No Holiday,Yes
04/12/2017,0.06,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.02,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,-0.0025,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,-0.095,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,-0.1725,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,-0.1975,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,-0.1475,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,-0.035,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.22625,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.765,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.3275,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.08625,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.1675,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.15125,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.15625,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.1675,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.19125,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.29375,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.41125,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.73625,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.49625,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.2725,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.26875,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.24125,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,winter,No Holiday,Yes
05/12/2017,0.055,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,winter,No Holiday,Yes
06/12/2017,-0.06875,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,winter,No Holiday,Yes
06/12/2017,-0.07,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,winter,No Holiday,Yes
06/12/2017,-0.10375,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,winter,No Holiday,Yes
06/12/2017,-0.1525,3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,winter,No Holiday,Yes
06/12/2017,-0.1775,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,winter,No Holiday,Yes
06/12/2017,-0.14125,5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,winter,No Holiday,Yes
06/12/2017,-0.0725,6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,winter,No Holiday,Yes
06/12/2017,0.22375,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,winter,No Holiday,Yes
06/12/2017,0.7525,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,winter,No Holiday,Yes
06/12/2017,0.3,9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,winter,No Holiday,Yes
06/12/2017,0.13375,10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,winter,No Holiday,Yes
06/12/2017,0.22625,11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,winter,No Holiday,Yes
06/12/2017,0.25625,12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,winter,No Holiday,Yes
06/12/2017,0.3025,13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,winter,No Holiday,Yes
06/12/2017,0.27,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,winter,No Holiday,Yes
06/12/2017,0.265,15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,winter,No Holiday,Yes
06/12/2017,0.37,16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,winter,No Holiday,Yes
06/12/2017,0.04875,17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,winter,No Holiday,Yes
06/12/2017,0.005,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,winter,No Holiday,Yes
06/12/2017,0.00625,19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,winter,No Holiday,Yes
06/12/2017,-0.0125,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,winter,No Holiday,Yes
06/12/2017,-0.04375,21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,winter,No Holiday,Yes
06/12/2017,0.0275,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,winter,No Holiday,Yes
06/12/2017,-0.00875,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,winter,No Holiday,Yes
07/12/2017,-0.0025,0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,winter,No Holiday,Yes
07/12/2017,0.0225,1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,winter,No Holiday,Yes
07/12/2017,-0.06375,2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,winter,No Holiday,Yes
07/12/2017,-0.1225,3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,winter,No Holiday,Yes
07/12/2017,-0.1725,4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,winter,No Holiday,Yes
07/12/2017,-0.14625,5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,winter,No Holiday,Yes
07/12/2017,-0.07875,6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,winter,No Holiday,Yes
07/12/2017,0.20875,7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,winter,No Holiday,Yes
07/12/2017,0.6925,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,winter,No Holiday,Yes
07/12/2017,0.26875,9,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,winter,No Holiday,Yes
07/12/2017,0.15125,10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,winter,No Holiday,Yes
07/12/2017,0.16625,11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,winter,No Holiday,Yes
07/12/2017,0.28875,12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,winter,No Holiday,Yes
07/12/2017,0.2425,13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,winter,No Holiday,Yes
07/12/2017,0.2375,14,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,winter,No Holiday,Yes
07/12/2017,0.2875,15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,winter,No Holiday,Yes
07/12/2017,0.33875,16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,winter,No Holiday,Yes
07/12/2017,0.44,17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,winter,No Holiday,Yes
07/12/2017,0.74375,18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,winter,No Holiday,Yes
07/12/2017,0.38375,19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,winter,No Holiday,Yes
07/12/2017,0.2375,20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,winter,No Holiday,Yes
07/12/2017,0.2525,21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,winter,No Holiday,Yes
07/12/2017,0.23625,22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,winter,No Holiday,Yes
07/12/2017,0.07375,23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.04125,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.0375,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,-0.08625,2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,-0.12625,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,-0.16125,4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,-0.145,5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,-0.0525,6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.23375,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.725,8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.24375,9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.07625,10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.1375,11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.19375,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.1925,13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.1875,14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.2025,15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.25125,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.375,17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.69,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.34625,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.23,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.17,21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.18375,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,winter,No Holiday,Yes
08/12/2017,0.09375,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.08375,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.12,1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.04625,2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,-0.03875,3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,-0.13,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,-0.18,5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,-0.155,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,-0.09125,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.0275,8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.11375,9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.09125,10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.18875,11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.28375,12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.28875,13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.3575,14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.46125,15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.4325,16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.35125,17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.23,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.09375,19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.1225,20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.15125,21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.11125,22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,winter,No Holiday,Yes
09/12/2017,0.08125,23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,0.1575,0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,0.1,1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,0.05375,2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,-0.03875,3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,-0.16125,4,0.4,52,1.6,1816,-8.3,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,-0.23375,5,0.3,74,1.0,178,-3.7,0.0,0.0,0.7,winter,No Holiday,Yes
10/12/2017,-0.23875,6,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,winter,No Holiday,Yes
10/12/2017,-0.225,7,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,winter,No Holiday,Yes
10/12/2017,-0.20625,8,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,winter,No Holiday,Yes
10/12/2017,-0.21125,9,0.2,90,1.0,305,-1.2,0.0,1.6,4.3,winter,No Holiday,Yes
10/12/2017,-0.22625,10,0.5,91,0.4,143,-0.8,0.0,0.0,4.3,winter,No Holiday,Yes
10/12/2017,-0.1775,11,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,winter,No Holiday,Yes
10/12/2017,-0.10125,12,2.3,88,0.3,245,0.5,0.28,0.0,3.1,winter,No Holiday,Yes
10/12/2017,-0.0225,13,3.3,87,1.1,230,1.3,0.54,0.0,2.1,winter,No Holiday,Yes
10/12/2017,0.04375,14,4.2,85,0.7,325,1.8,0.65,0.0,1.4,winter,No Holiday,Yes
10/12/2017,-0.025,15,6.7,63,4.5,715,0.1,0.35,0.0,1.0,winter,No Holiday,Yes
10/12/2017,0.0175,16,5.4,71,3.5,622,0.5,0.2,0.0,0.5,winter,No Holiday,Yes
10/12/2017,0.0325,17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,winter,No Holiday,Yes
10/12/2017,0.0125,18,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,-0.02375,19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,-0.04375,20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,-0.04125,21,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,-0.06,22,-1.0,56,4.7,2000,-8.6,0.0,0.0,0.0,winter,No Holiday,Yes
10/12/2017,-0.065,23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,winter,No Holiday,Yes
11/12/2017,-0.09375,0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,winter,No Holiday,Yes
11/12/2017,-0.11125,1,-3.4,36,3.8,2000,-16.3,0.0,0.0,0.0,winter,No Holiday,Yes
